,super_cluster,gene_names
0,0,ABCF2
0,0,ACTR2
0,0,ACTR3
0,0,ACTR5
0,0,ADNP
0,0,AFTPH
0,0,AHCTF1
0,0,AKAP8L
0,0,AMBRA1
0,0,ANXA5
0,0,AP1AR
0,0,AP1M1
0,0,ARPC1B
0,0,ARPC3
0,0,ARPC4-TTLL3;ARPC4
0,0,ARPC5
0,0,ASH2L
0,0,ATRX
0,0,ATXN2
0,0,BRD8
0,0,BRPF3
0,0,C14ORF166
0,0,CACYBP
0,0,CAPZA1
0,0,CAPZB
0,0,CASC3
0,0,CASC5
0,0,CCDC71
0,0,CCDC86
0,0,CDK5RAP2
0,0,CEP170
0,0,CFDP1
0,0,CHAF1A
0,0,CHD7
0,0,CHURC1;CHURC1-FNTB
0,0,CKMT1A;CKMT1B
0,0,CLEC16A
0,0,CLTA
0,0,CLTB
0,0,CLTC
0,0,CLTCL1
0,0,CNOT1
0,0,CNOT10
0,0,CNOT2
0,0,COPS3
0,0,COX4I1
0,0,CRYBG3
0,0,CSRP2BP
0,0,CUL4A
0,0,CUL4B
0,0,DAPK3
0,0,DARS
0,0,DCP1A
0,0,DCTN3
0,0,DCTN5
0,0,DCTN6
0,0,DDA1
0,0,DDB1
0,0,DDB2
0,0,DDX1
0,0,DHX30
0,0,DNTTIP2
0,0,DPCD
0,0,DSN1
0,0,DYNC1I2
0,0,DYNC1LI2
0,0,DYNLT3
0,0,EDC3
0,0,EIF2B1
0,0,EIF2S1
0,0,EIF2S2
0,0,EIF2S3;EIF2S3L
0,0,EIF3E
0,0,EIF3H
0,0,EIF3J
0,0,EIF3L
0,0,EIF4B
0,0,EMSY;C11ORF30
0,0,EPC1
0,0,EPC2
0,0,EPRS
0,0,ERC1
0,0,ERI1
0,0,EXOSC4
0,0,EXOSC9
0,0,FAM98A
0,0,FBL
0,0,FIG4
0,0,FKBP5
0,0,FMR1
0,0,FN3KRP
0,0,GLUD1;GLUD2
0,0,GTPBP4
0,0,GTSE1
0,0,HIP1
0,0,HIP1R
0,0,HIST1H1C
0,0,HIST1H2BL
0,0,HIST2H2AC;HIST2H2AA3
0,0,HIST2H2BE
0,0,HMGA1
0,0,HMGB2
0,0,HMGXB4
0,0,HNRNPF
0,0,HNRNPH1
0,0,HSPA4
0,0,HSPA9
0,0,ING3
0,0,ING4
0,0,ING5
0,0,INO80
0,0,INO80C
0,0,IWS1
0,0,JADE1
0,0,JADE3
0,0,KARS
0,0,KAT5
0,0,KDM6B
0,0,KIF18B
0,0,LARP4B
0,0,LARS
0,0,LCOR
0,0,LSM12
0,0,LUZP1
0,0,LYAR
0,0,MAPRE1
0,0,MBIP
0,0,MEAF6
0,0,MEN1
0,0,MLK4
0,0,MLLT10
0,0,MMS22L
0,0,MNDA
0,0,MORF4L1
0,0,MOV10
0,0,MPHOSPH8
0,0,MSI2
0,0,MTDH
0,0,MTHFD1
0,0,MTHFD1L
0,0,MTPN
0,0,NABP2
0,0,NDC80
0,0,NMT1
0,0,NOC2L
0,0,NOP56
0,0,NSL1
0,0,NSUN2
0,0,NUF2
0,0,PDCD4
0,0,PDE4DIP
0,0,PHF2
0,0,PIH1D1
0,0,PIKFYVE
0,0,PLA2G4A
0,0,PLOD2
0,0,PNKP
0,0,POLD1
0,0,POLE
0,0,POP7
0,0,PPHLN1
0,0,PPIA
0,0,PPP1CA;PPP1CB
0,0,PPP1CB
0,0,PPP1CC
0,0,PRKACA
0,0,PRKAR2B
0,0,PRPSAP2
0,0,PRRC2A
0,0,PUS7
0,0,QARS
0,0,RAC1
0,0,RARS
0,0,RBX1
0,0,RLF
0,0,RNF219
0,0,RNMTL1
0,0,RPL10A
0,0,RPL13
0,0,RPL13A;RPL13A
0,0,RPL15
0,0,RPL18
0,0,RPL19
0,0,RPL21
0,0,RPL24
0,0,RPL26;RPL26L1
0,0,RPL26L1;RPL26
0,0,RPL28
0,0,RPL35
0,0,RPL35A
0,0,RPL36
0,0,RPL39P5;RPL39
0,0,RPL4
0,0,RPL7A
0,0,RPL8
0,0,RPL9
0,0,RPS10;RPS10-NUDT3
0,0,RPS16
0,0,RPS18
0,0,RPS2
0,0,RPS27L
0,0,RPS28
0,0,RPS4X
0,0,RPS6
0,0,RRBP1
0,0,RRP9
0,0,RUVBL1
0,0,RUVBL2
0,0,SACS
0,0,SDAD1
0,0,SEC61A1
0,0,SEC61G
0,0,SERBP1
0,0,SF1
0,0,SGOL2
0,0,SH3D19
0,0,SHPRH
0,0,SKIV2L
0,0,SMARCAL1
0,0,SPAST
0,0,SPC24
0,0,SPC25
0,0,SPECC1
0,0,SPECC1L;SPECC1L-ADORA2A
0,0,SPIN1;SPIN3
0,0,SPTAN1
0,0,SRCAP
0,0,SSB
0,0,SSRP1
0,0,SUGT1
0,0,SUPT16H
0,0,SVIL
0,0,TANGO6
0,0,TGS1
0,0,TPX2
0,0,TRMT2A
0,0,TRMT6
0,0,TTC37
0,0,TTC4
0,0,TTI1
0,0,UPF1
0,0,UPF2
0,0,VPS72
