,super_cluster,gene_names
0,0,ABCF2
0,0,ABT1
0,0,ACAD11
0,0,ACBD5
0,0,ACTC1
0,0,ACTG1
0,0,ACTR10
0,0,ACTR1A
0,0,ACTR1B
0,0,ACTR2
0,0,ACTR3
0,0,ACTR5
0,0,ADNP
0,0,AFTPH
0,0,AHCTF1
0,0,AIMP1
0,0,AKAP8L
0,0,ALDH18A1
0,0,AMBRA1
0,0,ANKRD11
0,0,ANXA5
0,0,AP1AR
0,0,AP1B1
0,0,AP1M1
0,0,APOBEC3C
0,0,APTX
0,0,ARCN1
0,0,ARPC1B
0,0,ARPC3
0,0,ARPC4-TTLL3;ARPC4
0,0,ARPC5
0,0,ASCC1
0,0,ASCC2
0,0,ASCC3
0,0,ASH2L
0,0,ASNSD1
0,0,ASUN
0,0,ATAD2
0,0,ATG7
0,0,ATL1
0,0,ATRX
0,0,ATXN2
0,0,AVEN
0,0,BAZ1A
0,0,BAZ1B
0,0,BCL7C
0,0,BDP1
0,0,BPTF
0,0,BRD1
0,0,BRD1;BRPF3
0,0,BRD8
0,0,BRF1
0,0,BRIX1
0,0,BRPF1
0,0,BRPF3
0,0,BRWD3
0,0,BTBD6
0,0,BTF3L4
0,0,BZW2
0,0,C12ORF43
0,0,C14ORF166
0,0,C17ORF62
0,0,C3ORF17
0,0,C5ORF34
0,0,C6ORF47
0,0,C7ORF26
0,0,CACTIN
0,0,CACYBP
0,0,CAP1
0,0,CAP2
0,0,CAPRIN1
0,0,CAPZA1
0,0,CAPZB
0,0,CASC3
0,0,CASC5
0,0,CBX3
0,0,CBX8
0,0,CCDC124
0,0,CCDC47
0,0,CCDC59
0,0,CCDC71
0,0,CCDC86
0,0,CD3EAP
0,0,CDC73
0,0,CDK5RAP2
0,0,CDK5RAP3
0,0,CECR2
0,0,CENPF
0,0,CENPQ
0,0,CEP170
0,0,CFDP1
0,0,CHAF1A
0,0,CHD1L
0,0,CHD7
0,0,CHRAC1
0,0,CHURC1;CHURC1-FNTB
0,0,CISD2
0,0,CKMT1A;CKMT1B
0,0,CLEC16A
0,0,CLTA
0,0,CLTB
0,0,CLTC
0,0,CLTCL1
0,0,CMSS1
0,0,CNOT1
0,0,CNOT10
0,0,CNOT11
0,0,CNOT2
0,0,COMT
0,0,COPB1
0,0,COPB2
0,0,COPG1
0,0,COPS3
0,0,CORO1B
0,0,CORO1C
0,0,COX4I1
0,0,COX5B
0,0,CPSF3L
0,0,CPSF7
0,0,CPVL
0,0,CRCP
0,0,CRYBG3
0,0,CSE1L
0,0,CSNK2A1
0,0,CSNK2A1;CSNK2A3
0,0,CSNK2B
0,0,CSRP2BP
0,0,CTDP1
0,0,CUL4A
0,0,CUL4B
0,0,CYB5B
0,0,DAPK3
0,0,DARS
0,0,DBNL
0,0,DCP1A
0,0,DCTN2
0,0,DCTN3
0,0,DCTN5
0,0,DCTN6
0,0,DDA1
0,0,DDB1
0,0,DDB2
0,0,DDRGK1
0,0,DDX1
0,0,DDX18
0,0,DDX26B
0,0,DDX3X
0,0,DDX47
0,0,DDX50
0,0,DDX54
0,0,DERL1
0,0,DERL2
0,0,DHRS7
0,0,DHX29
0,0,DHX30
0,0,DHX57
0,0,DIMT1
0,0,DLG1
0,0,DNTTIP2
0,0,DPCD
0,0,DSN1
0,0,DYNC1I2
0,0,DYNC1LI2
0,0,DYNLT3
0,0,EBNA1BP2
0,0,EDC3
0,0,EED
0,0,EHMT1
0,0,EHMT2
0,0,EI24
0,0,EIF1
0,0,EIF1B
0,0,EIF2B1
0,0,EIF2S1
0,0,EIF2S2
0,0,EIF2S3;EIF2S3L
0,0,EIF3A
0,0,EIF3CL
0,0,EIF3D
0,0,EIF3E
0,0,EIF3H
0,0,EIF3J
0,0,EIF3L
0,0,EIF3M
0,0,EIF4B
0,0,ELAVL2
0,0,EMC1
0,0,EMC10
0,0,EMC2
0,0,EMC6
0,0,EMD
0,0,EMSY;C11ORF30
0,0,ENDOD1
0,0,EPB41L5
0,0,EPC1
0,0,EPC2
0,0,EPHX1
0,0,EPRS
0,0,EPT1
0,0,ERC1
0,0,ERI1
0,0,ERP44
0,0,ESF1
0,0,ESYT1
0,0,ESYT2
0,0,EVL
0,0,EXOSC3
0,0,EXOSC4
0,0,EXOSC9
0,0,FAM73B
0,0,FAM83G
0,0,FAM91A1
0,0,FAM98A
0,0,FASTKD2
0,0,FAU
0,0,FBL
0,0,FIG4
0,0,FKBP5
0,0,FLII
0,0,FLNA
0,0,FMN2
0,0,FMNL2
0,0,FMR1
0,0,FN3KRP
0,0,FOCAD
0,0,FTSJ3
0,0,FXR2
0,0,G3BP1
0,0,GCOM1;GCOM2
0,0,GDPD1
0,0,GLUD1;GLUD2
0,0,GLYR1
0,0,GMFB
0,0,GNB2L1
0,0,GNL2
0,0,GPN1
0,0,GPN2
0,0,GPN3
0,0,GRAMD1A
0,0,GSN
0,0,GTF2B
0,0,GTF2F1
0,0,GTF2F2
0,0,GTPBP4
0,0,GTSE1
0,0,H1F0
0,0,H2AFY
0,0,H2AFZ;H2AFV
0,0,HDLBP
0,0,HIP1
0,0,HIP1R
0,0,HIRA
0,0,HIST1H1C
0,0,HIST1H1D
0,0,HIST1H2AC
0,0,HIST1H2BL
0,0,HIST2H2AB
0,0,HIST2H2AC;HIST2H2AA3
0,0,HIST2H2BE
0,0,HIST2H3A
0,0,HIST3H2BB
0,0,HLTF
0,0,HMGA1
0,0,HMGB2
0,0,HMGN5
0,0,HMGXB4
0,0,HNRNPA2B1
0,0,HNRNPF
0,0,HNRNPH1
0,0,HSD17B12
0,0,HSPA4
0,0,HSPA9
0,0,INF2
0,0,ING3
0,0,ING4
0,0,ING5
0,0,INIP
0,0,INO80
0,0,INO80C
0,0,INTS1
0,0,INTS10
0,0,INTS12
0,0,INTS14
0,0,INTS2
0,0,INTS3
0,0,INTS4
0,0,INTS5
0,0,INTS6
0,0,INTS7
0,0,INTS8
0,0,INTS9
0,0,ISG20L2
0,0,ITPRIPL1
0,0,IWS1
0,0,JADE1
0,0,JADE3
0,0,JMJD1C
0,0,KARS
0,0,KAT5
0,0,KAT7
0,0,KDM5B
0,0,KDM6B
0,0,KIAA0020
