,super_cluster,gene_names
0,0,CAPZA1
0,0,CAPZB
0,0,CD2AP
0,0,DBNL
0,0,FAM21A
0,0,HIRA
0,0,MTPN
0,0,SPAST
0,0,SVIL
0,0,UBN2
1,1,ATP13A1
1,1,ATP2A2
1,1,CCDC47
1,1,DERL2
1,1,EMC10
1,1,ERN1
1,1,MMGT1
1,1,ODR4
1,1,PGRMC2
1,1,PTRH2
1,1,SEC61A1
1,1,SEC61A2
1,1,SEC61B
1,1,SEC62
1,1,SEC63
1,1,SSR3
1,1,TEX264
1,1,TMEM33
2,2,ATG4B
2,2,C7ORF50
2,2,CAPRIN1
2,2,CCDC124
2,2,DARS
2,2,DHX29
2,2,DHX57
2,2,DRG1
2,2,EIF3C;EIF3CL
2,2,EIF4A2
2,2,G3BP2
2,2,GNB2L1
2,2,GNL2
2,2,GTPBP4
2,2,HMGB2
2,2,ILF2
2,2,ILF3
2,2,LARP4B
2,2,LYAR
2,2,MARS
2,2,METAP2
2,2,MTDH
2,2,NKRF
2,2,PRRC2B
2,2,QARS
2,2,RBM28
2,2,RPL10
2,2,RPL10A
2,2,RPL15
2,2,RPL18
2,2,RPL18A
2,2,RPL23A
2,2,RPL26L1;RPL26
2,2,RPL28
2,2,RPL3
2,2,RPL30
2,2,RPL32
2,2,RPL35A
2,2,RPL39P5;RPL39
2,2,RPL7
2,2,RPL8
2,2,RPS13
2,2,RPS14
2,2,RPS15
2,2,RPS15A
2,2,RPS16
2,2,RPS17
2,2,RPS2
2,2,RPS24
2,2,RPS26
2,2,RPS27L
2,2,RPS3
2,2,RPS5
2,2,RPS6
2,2,RPS7
2,2,RPS9
2,2,RPSA
2,2,SDAD1
2,2,SEC61G
2,2,SND1
2,2,SRP19
2,2,SRP72
2,2,STAU1
2,2,TARBP2
2,2,ZC3H15
2,2,ZCCHC17
2,2,ZNF622
3,3,SAR1B
3,3,SAR1B;DKFZP434B2017
3,3,UBA5
3,3,UFC1
3,3,UFM1
4,4,AGGF1
4,4,AMOTL1
4,4,ANKRD20A1;ANKRD20A2;ANKRD20A3;ANKRD20A4;ANKRD20A8P
4,4,ATMIN
4,4,CIZ1
4,4,CTTNBP2NL
4,4,DDA1
4,4,DIABLO
4,4,DLG5
4,4,DYNLL1
4,4,DYNLL2
4,4,DYRK1A
4,4,EML3
4,4,EML4
4,4,FAM117A
4,4,FBXO30
4,4,GOLGB1
4,4,GPHN
4,4,HMMR
4,4,IFFO1
4,4,IFFO2
4,4,KANK1
4,4,KANK2
4,4,KIAA1468
4,4,KMT2C
4,4,KNSTRN
4,4,LCA5
4,4,MORC3
4,4,MPHOSPH9
4,4,MTPAP
4,4,MYO5A
4,4,N4BP2
4,4,NDE1
4,4,NDEL1
4,4,OFD1
4,4,OPTN
4,4,PDZRN3
4,4,PPFIBP1
4,4,PTPN12
4,4,PXN
4,4,RNF214
4,4,RSBN1
4,4,SKP1
4,4,SOGA1
4,4,TP53BP1
4,4,UBQLN1
4,4,UBQLN4
4,4,WWC1
4,4,WWC2
4,4,XIAP
4,4,ZMYM3
4,4,ZMYM4
4,4,ZMYM6
5,5,ARID4A
5,5,ARID5B
5,5,BAHD1
5,5,BCL11A
5,5,BEND3
5,5,C16ORF87
5,5,CASZ1
5,5,CHD4
5,5,FAM60A
5,5,GATAD2A
5,5,GATAD2B
5,5,GSE1
5,5,HDAC1
5,5,HDAC2
5,5,HMG20B
5,5,KDM1A
5,5,L3MBTL3
5,5,MBD2
5,5,MBD3
5,5,MECOM
5,5,MIER1
5,5,MIER3
5,5,MTA1
5,5,MTA2
5,5,MTA3
5,5,PHF21A
5,5,RCOR1
5,5,RCOR3
5,5,RREB1
5,5,SALL1
5,5,SAP130
5,5,SAP30
5,5,SATB2
5,5,SIN3A
5,5,ZHX1
5,5,ZHX2
5,5,ZHX3
5,5,ZMYND8
5,5,ZNF423
5,5,ZNF609
6,6,POGK
6,6,RBAK
6,6,TRIM28
6,6,WEE1
6,6,ZNF316
6,6,ZNF8
7,7,APTX
7,7,CORO1B
7,7,CORO1C
7,7,H2AFY
7,7,H2AFZ
7,7,H2AFZ;H2AFV
7,7,HIST1H4A
7,7,KAT7
7,7,LIG3
7,7,MSL1
7,7,PARP1
7,7,POLB
7,7,SRBD1
7,7,TDP1
7,7,TPX2
7,7,UHRF1
7,7,XRCC1
8,8,ATPIF1
8,8,C18ORF25
8,8,CSNK2A2
8,8,MAPK1
8,8,MAPK3
8,8,SPG20
8,8,TCF20
9,9,CDC42
9,9,IQGAP1
9,9,IQGAP3
9,9,MYL6
9,9,MYL6B
9,9,MYO9B
10,10,CHD7
10,10,FKBP5
11,11,AFTPH
11,11,ALDH18A1
11,11,AP1AR
11,11,AP1B1
11,11,AP1G1
11,11,AP1M1
11,11,CHMP2A
11,11,CHMP5
11,11,CLTA
11,11,CLTB
11,11,CLTC
11,11,CLTCL1
11,11,DCP2
11,11,GAK
11,11,HIP1
11,11,HIP1R
11,11,IGF2R
11,11,LSM1
11,11,SCYL2
12,12,APBB1
12,12,C4ORF32
12,12,DAD1
12,12,DDOST
12,12,DNAJB12
12,12,DSG2
12,12,EIF2AK3
12,12,EMD
12,12,FAM50B
12,12,JUP
12,12,KRTCAP2
12,12,LIN52
12,12,MAGT1
12,12,MLEC
12,12,MYBL2
12,12,NFXL1
12,12,NSG1
12,12,OST4
12,12,PACRGL
12,12,PHF8
12,12,PLAGL1;DKFZP781P1017
12,12,POR
12,12,RAB5C;RAB5B;DIRAS1;DIRAS2;RAB5A
12,12,RPN1
12,12,RPN2
12,12,SCD
12,12,SMG7
12,12,STAU2
12,12,STT3A
12,12,TIA1
12,12,TMEM258
12,12,TMEM43
12,12,TMPO
12,12,TONSL
12,12,TOR1AIP1
12,12,VRK2
12,12,ZC3HAV1
13,13,BAZ1B
13,13,BRPF1
13,13,CBX5
13,13,CHAMP1
13,13,CUL4A
13,13,CUL4B
13,13,EED
13,13,HIST1H2AC
13,13,HIST2H2AB
13,13,HMGA1
13,13,HMGN5
13,13,HP1BP3
13,13,ING5;ING4
13,13,KDM5B
13,13,MCM2
13,13,MCM6
13,13,MCM7
13,13,MTF2
13,13,NUCKS1
13,13,PHIP
13,13,POGZ
13,13,SUZ12
13,13,WHSC1
13,13,ZNF512
14,14,ALDH7A1
14,14,APMAP
14,14,ARCN1
14,14,ATL2
14,14,BCAP29
14,14,BCAP31
14,14,COPB1
14,14,COPB2
14,14,COPE
14,14,COPG1
14,14,COPG2
14,14,DHRS7
14,14,ERGIC1
14,14,ERLIN1
14,14,GRAMD1A
14,14,HSD17B11
14,14,HSD17B12
14,14,ILVBL
14,14,LCLAT1
14,14,MICAL2
14,14,NDC1
14,14,PRDX2
14,14,PRDX4
14,14,PTBP3
14,14,RCN1
14,14,SCYL1
14,14,SCYL3
14,14,SMIM11
14,14,SUGP2
14,14,SUN2
15,15,HIST2H2BE
15,15,HIST2H3A
16,16,MAPRE1
16,16,NUP43
17,17,ADAR
17,17,CPSF1
17,17,CPSF2
17,17,CSTF2
17,17,DDX5
17,17,FUS
17,17,LEO1
17,17,PHF3
17,17,PPP1R10
17,17,RALY
17,17,RPRD1B;RPRD1A
17,17,RPRD2
17,17,SNRPC
17,17,SRSF1
17,17,STRAP
17,17,TAF15
17,17,TXN
18,18,CCNC
18,18,CDK19
18,18,CDK8
18,18,FBXL19
18,18,IXL;MED29
18,18,JMJD6
18,18,MED1
18,18,MED10
18,18,MED11
18,18,MED12;TNRC11
18,18,MED12L
18,18,MED13
18,18,MED13L
18,18,MED14
18,18,MED15
18,18,MED16
18,18,MED17
18,18,MED19
18,18,MED20
18,18,MED21
18,18,MED22
18,18,MED23
18,18,MED24
18,18,MED25
18,18,MED26
18,18,MED27
18,18,MED28
18,18,MED29
18,18,MED30
18,18,MED31
18,18,MED4
18,18,MED6
18,18,MED7
18,18,MED8
18,18,MED9
19,19,CEP97
19,19,CKAP5
19,19,DLGAP5
19,19,SLAIN1
19,19,SLAIN2
19,19,TACC1
19,19,TACC2
19,19,TACC3
19,19,TCP11L1
19,19,TCP11L2
19,19,TUBA1B
19,19,TUBB2B
19,19,TUBB4B
19,19,ZC2HC1A
20,20,ATP2C1
20,20,BLZF1
20,20,GALNT2
20,20,GOLGA2
20,20,GORASP2
20,20,MAN1A1
20,20,SEC22A
20,20,SLC30A5
20,20,SLC30A6
20,20,TMED1
