ORF,Gene,Description,Control Median,Control STD,control Localization,DTT Median,DTT STD,DTT FoldChange,Significance DTT,DTT Localization,H2O2 Median,H2O2 STD,H2O2 FoldChange,Significance H2O2,H2O2 Localization,Starvation Median,Starvation STD,Starvation FoldChange,Significance Starvation ,Starvation Localization,Pup2-DAmP,MA3 Median,MA3 STD,MA3 FoldChange,Significance MA3 ,MA3 Localization
YLR143W,YLR143W,Putative protein of unknown function; green fluorescent protein (GFP)-tagged protein localizes to the cytoplasm; YLR143W is not an essential gene,25.36,4.369947508,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,punctate,NA,NA,NA,NA,cytosol
YLR244C,MAP1,"Methionine aminopeptidase, catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map2p",26.65,6.302414049,cytosol,22.74,10.46,0.85,0,cytosol,25.53,5.53,0.95,0,cytosol,48.8,22.71,1.83,1,cytosol,cytosol,NA,NA,NA,NA,cytosol
YGL119W,ABC1,"Protein required for ubiquinone (coenzyme Q) biosynthesis and for respiratory growth; exhibits genetic interaction with COQ9, suggesting a common function; similar to prokaryotic proteins involved in early steps of ubiquinone biosynthesis",28.29,8.763370144,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,NA,NA,NA,0,mitochondria,mitochondria,NA,NA,NA,NA,mitochondria
YAL054C,ACS1,"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetlyation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",23.86,15.03389157,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,NA,NA,NA,0,nucleus,nucleus,NA,NA,NA,NA,nucleus
YGL234W,ADE5,"Bifunctional enzyme of the 'de novo' purine nucleotide biosynthetic pathway, contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities",16.45,4.030275452,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,technical problem,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YMR009W,ADI1,Acireductone dioxygenease involved in the methionine salvage pathway; ortholog of human MTCBP-1; transcribed with YMR010W and regulated post-transcriptionally by RNase III (Rnt1p) cleavage; ADI1 mRNA is induced in heat shock conditions,30.47,7.767576932,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YKR074W,AIM29,Putative protein of unknown function; epitope-tagged protein localizes to the cytoplasm; YKR074W is not an essential gene; null mutant displays elevated frequency of mitochondrial genome loss,38.71,9.056815115,nucleus:cytosol,NA,NA,NA,0,"nucleus,cytosol",NA,NA,NA,0,"nucleus,cytosol",NA,NA,NA,0,"nucleus,cytosol",nucleus:cytosol,NA,NA,NA,NA,nucleus:cytosol
YGL021W,ALK1,Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; similar to Alk2p and to mammalian haspins,24.5,6.537030003,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,cytosol,NA,NA,NA,NA,cytosol
YBL009W,ALK2,Protein kinase; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to DNA damage; contains characteristic motifs for degradation via the APC pathway; similar to Alk1p and to mammalian haspins,17.57,4.905641544,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YBR151W,APD1,"Protein of unknown function, required for normal localization of actin patches and for normal tolerance of sodium ions and hydrogen peroxide; localizes to both cytoplasm and nucleus",37.29,9.372236644,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,technical problem,cytosol,NA,NA,NA,NA,cytosol
YGL017W,ATE1,"Arginyl-tRNA-protein transferase, catalyzes post-translational conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway",16.72,3.980678224,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
YLL042C,ATG10,"Conserved E2-like conjugating enzyme that mediates formation of the Atg12p-Atg5p conjugate, which is a critical step in autophagy",16.51,3.760436601,below threshold,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,NA,NA,NA,0,cytosol,below threshold,NA,NA,NA,NA,below threshold
